ID,Prob_0,Prob_1
1,0.9625,0.0375
2,0.9625,0.0375
3,0.975,0.025
4,0.975,0.025
5,0.95,0.05
6,0.925,0.075
7,0.9125,0.0875
8,0.975,0.025
9,0.975,0.025
10,0.9625,0.0375
11,0.9625,0.0375
12,0.975,0.025
13,0.95,0.05
14,0.9375,0.0625
15,0.9625,0.0375
16,0.95,0.05
17,0.95,0.05
18,0.95,0.05
19,0.9625,0.0375
20,0.9625,0.0375
21,0.9625,0.0375
22,0.975,0.025
23,0.9375,0.0625
24,0.95,0.05
25,0.975,0.025
26,0.9625,0.0375
27,0.975,0.025
28,0.9625,0.0375
29,0.9625,0.0375
30,0.9875,0.0125
31,0.9625,0.0375
32,0.95,0.05
33,0.95,0.05
34,0.95,0.05
35,0.975,0.025
36,0.95,0.05
37,0.975,0.025
38,0.975,0.025
39,0.975,0.025
40,0.9625,0.0375
41,0.9625,0.0375
42,0.975,0.025
43,0.975,0.025
44,0.925,0.075
45,0.9375,0.0625
46,0.95,0.05
47,0.9375,0.0625
48,0.975,0.025
49,0.9625,0.0375
50,0.975,0.025
51,0.9625,0.0375
52,0.95,0.05
53,0.975,0.025
54,0.9875,0.0125
55,0.9625,0.0375
56,0.9625,0.0375
57,0.975,0.025
58,0.925,0.075
59,0.9875,0.0125
60,0.9625,0.0375
61,0.9625,0.0375
62,0.9625,0.0375
63,0.9875,0.0125
64,0.9625,0.0375
65,0.975,0.025
66,0.9875,0.0125
67,0.9625,0.0375
68,0.9875,0.0125
69,0.9875,0.0125
70,0.975,0.025
71,0.9625,0.0375
72,0.975,0.025
73,0.9375,0.0625
74,0.975,0.025
75,0.9625,0.0375
76,0.975,0.025
77,0.95,0.05
78,0.9625,0.0375
79,0.975,0.025
80,0.95,0.05
81,0.9875,0.0125
82,0.9625,0.0375
83,0.975,0.025
84,0.95,0.05
85,0.9625,0.0375
86,0.95,0.05
87,0.975,0.025
88,0.95,0.05
89,0.9875,0.0125
90,0.925,0.075
91,0.9625,0.0375
92,0.975,0.025
93,0.975,0.025
94,0.975,0.025
